Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Aruba,ABW,10812,10509,10264,10033,9752,9382,9171,8844,8445,8064,7772,7625,7572,7594,7602,7529,7575,7481,7300,7179,7244,7407,7768,8285,8830,9285,9693,9972,10143,10266,10387,10540,10667,10748,10759,10699,10608,10535,10477,10436,10405,10283,10116,9919,9729,9575,9395,9296,9252,9201,9113,
Africa Eastern and Southern,AFE,38086650,39301343,40535329,41787526,43049283,44316325,45720574,47112965,48512483,49940448,51403522,53083449,54760254,56439165,58125014,59821771,61717282,63594110,65449655,67270414,69038829,70935595,72753871,74507808,76219216,77900865,79900517,81865865,83810917,85745000,87677781,89863470,92033154,94219304,96465126,98793161,101326425,103911838,106541657,109191820,111846850,114605375,117321804,120008007,122678569,125335364,128034983,130696536,133310995,135864957,138352035,
Afghanistan,AFG,2436833,2522034,2606418,2687830,2762813,2827164,2900086,2965343,3014627,3035884,3020360,2993323,2939412,2870806,2806370,2763494,2726344,2700214,2705982,2770529,2914609,3107658,3366714,3661343,3940688,4163101,4362436,4515377,4640145,4772697,4941837,5137506,5353947,5579221,5792148,5976085,6173718,6354167,6523612,6692547,6868889,7024632,7173441,7311698,7434608,7538168,7640116,7732304,7814309,7885531,7947146,
Africa Western and Central,AFW,25729956,26497325,27263514,28034948,28816620,29613536,30578163,31532818,32488644,33456798,34441515,35588456,36726839,37858019,38977449,40079649,41322186,42521785,43685111,44818953,45926128,47157012,48347555,49508296,50652908,51794293,53140860,54469473,55792264,57122700,58471297,60071902,61669452,63281650,64927382,66618858,68524936,70447180,72389551,74350931,76327626,78465402,80597236,82718249,84819506,86895615,89065651,91176422,93236945,95263209,97264292,
Angola,AGO,1290464,1330908,1390247,1461662,1533860,1599471,1674517,1737730,1795226,1856867,1927909,2006969,2095579,2189855,2283009,2371510,2469014,2561682,2651119,2740420,2830943,2932824,3033742,3134245,3234367,3334186,3444240,3553953,3664043,3775416,3889101,4017710,4147984,4282405,4424434,4576744,4751540,4934578,5125026,5320149,5517269,5730658,5941834,6151428,6359972,6566961,6776879,6984656,7189750,7391526,7590076,
Albania,ALB,427825,434102,440893,446902,451792,455638,459582,462242,463578,464776,467042,469557,473486,478124,482984,487847,492433,497862,503433,513626,519368,518613,517649,515585,511748,505749,497010,486818,475768,464361,452977,437040,424027,410566,396765,382313,365416,349545,334678,320921,308516,294565,282007,270867,261200,252745,248337,243452,238481,234387,231492,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,26693743,27477185,28232892,28983822,29760742,30587067,31528913,32510272,33523499,34550902,35577814,36658066,37728679,38788215,39835906,40868445,42008424,43110268,44178369,45209903,46663649,47607085,48183675,49026213,49781125,50680244,51278578,51819135,52300041,52739322,53140027,53560602,53941063,54312912,54721172,55200236,55730463,56344291,57047061,57833320,58697915,59612743,60621204,61695109,62778946,63829340,65083691,66196685,67237975,68286720,69377480,
United Arab Emirates,ARE,38376,43065,48724,55600,63973,74123,84133,95767,109255,124287,140306,154261,168992,184286,199552,214169,229062,242654,255112,266716,277702,287394,296822,305682,313703,321067,333119,345427,359434,375347,392256,386658,382113,381824,389202,406384,426228,453520,486361,519969,549546,575998,596729,613891,629226,642811,666188,683740,697316,708435,717714,
Argentina,ARG,3462942,3517057,3575882,3638235,3702972,3769858,3846938,3929760,4016646,4103890,4188937,4295611,4385561,4465665,4545810,4629784,4695906,4775417,4856687,4922950,4966962,5016137,5042480,5053963,5064056,5079323,5098659,5118316,5138325,5156403,5171167,5177725,5189880,5203509,5213136,5216430,5226859,5226962,5222134,5221174,5215061,5231676,5256161,5285619,5314049,5338019,5366519,5389269,5407790,5424934,5441658,
Armenia,ARM,483857,482257,481179,480044,477758,473880,471642,467455,462881,460002,459683,461483,466047,472776,480411,488265,497132,506632,515747,522280,523676,519644,509867,495893,480305,465154,448792,432554,416212,399485,382425,364366,347896,332642,318062,304035,293366,282468,272471,264988,260857,259879,261267,264728,269189,273736,277562,281504,285122,288003,289898,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,14321,14048,13735,13424,13160,12961,12602,12299,12058,11881,11737,11444,11181,10962,10782,10630,10339,10060,9829,9675,9622,9663,9751,9891,10069,10260,10397,10548,10703,10846,10953,10939,10906,10859,10815,10768,10756,10735,10711,10668,10607,10607,10567,10509,10460,10431,10454,10470,10491,10520,10554,
Australia,AUS,1780015,1822791,1837944,1846339,1869983,1864552,1864631,1854461,1838405,1822967,1816512,1806924,1812226,1817389,1817814,1815694,1827969,1827356,1824254,1827209,1835346,1841894,1856531,1872082,1887188,1899429,1913683,1919270,1920099,1922994,1928579,1933858,1937025,1941035,1944244,1952145,1960459,1955442,1982209,2013675,2036247,2066091,2098215,2128237,2156081,2187070,2230783,2283149,2334187,2380552,2412757,
Austria,AUT,897894,900052,898922,893387,881426,863509,842486,822934,801616,778737,756918,738644,719866,700690,684017,669099,659245,647949,637702,632594,634032,641100,654620,669874,680999,686211,686055,680459,671206,662632,656704,650327,647457,646046,644231,640152,635056,626500,616650,607306,599747,593828,590120,588833,589869,593860,601675,607706,612946,618036,622637,
Azerbaijan,AZE,1109005,1116679,1122534,1125262,1122748,1114542,1105421,1091802,1075721,1060681,1049088,1041823,1038437,1039443,1044878,1054766,1073646,1097094,1123244,1149680,1161152,1191723,1216957,1238150,1253890,1263341,1263568,1258939,1249231,1233420,1212117,1181380,1149522,1116218,1082247,1048744,1023662,997918,983478,974474,965003,965175,973808,989029,1006895,1024447,1048538,1067071,1081862,1096189,1110594,
Burundi,BDI,794406,809083,819345,826799,834265,844207,857139,872769,891126,911549,933602,965874,998176,1031359,1066213,1102741,1143935,1185463,1226392,1265295,1301325,1351009,1396967,1438137,1472968,1500166,1524666,1542721,1557735,1575020,1598751,1613545,1635200,1662514,1693449,1726903,1765789,1806707,1850597,1898694,1951503,2015490,2082421,2152364,2224773,2299002,2374385,2449930,2524993,2598740,2670454,
Belgium,BEL,1109892,1101300,1095239,1087232,1076512,1062343,1047020,1027938,1006802,986257,967888,949184,933215,919820,907542,895966,887644,879267,873406,869885,868508,868099,871130,876332,881037,883526,885108,884810,882643,880590,879552,876739,876411,876913,877541,878756,881638,884785,888527,893003,899132,913128,920102,925489,930738,937059,941232,944299,947737,951163,953907,
Benin,BEN,614536,633766,652692,671553,690649,710208,733219,756277,779541,803109,827038,854741,882254,909879,937903,966478,998483,1030426,1062894,1096582,1131945,1170314,1209651,1249438,1288678,1326547,1369793,1411059,1451084,1490914,1531251,1575302,1619275,1663176,1706859,1750255,1798417,1846260,1893845,1941214,1988449,2040215,2091100,2141538,2192047,2242865,2296358,2349450,2402126,2454268,2505800,
Burkina Faso,BFA,1200028,1230588,1258837,1285817,1313042,1341427,1377950,1415390,1453754,1492743,1532396,1581742,1630012,1678023,1726551,1775642,1831992,1887396,1942084,1996028,2049179,2108746,2167218,2224848,2281989,2339041,2406031,2471899,2537554,2603986,2671682,2750050,2828153,2906783,2986834,3068951,3162712,3257354,3352880,3448785,3544660,3649430,3751739,3852575,3953084,4053581,4156077,4258496,4359845,4458769,4554844,
Bangladesh,BGD,14121502,14451477,14715636,14940060,15175269,15459726,15854717,16262817,16681390,17093415,17484853,17926113,18331306,18714232,19094337,19481487,19881506,20276458,20655451,20999328,21296048,21598734,21852428,22067724,22260688,22441254,22615442,22775381,22917371,23033717,23119882,23243105,23333388,23392080,23418829,23410517,23408112,23367278,23298862,23215287,23122275,22974868,22833971,22695206,22549510,22393138,22227798,22050648,21872927,21707562,21557302,
Bulgaria,BGR,946767,944601,942249,941466,943356,944639,948293,952876,953327,953185,954487,956628,955985,953192,949769,944088,932641,925498,918240,896113,864017,842223,813836,783971,757768,732995,707836,685008,663986,643848,623403,592203,562000,541182,522536,506641,498783,492305,487839,485611,484893,487755,489838,491854,494565,497762,495701,496576,498285,497938,494289,
Bahrain,BHR,47531,48422,49085,49749,50744,52246,53808,55669,57672,59585,61278,62449,63816,65331,66967,68682,71144,73345,75411,77286,78795,80274,81200,81816,82414,83273,85074,87020,89547,92780,96588,98211,100077,102433,105515,109423,111808,114918,118267,121114,123032,126698,129586,132294,135417,139131,141735,144606,147405,149846,151845,
"Bahamas, The",BHS,35220,35560,36150,36858,37464,37863,38193,38171,37977,37917,38155,38144,38604,39317,39935,40266,40749,40792,40610,40558,40829,40974,41568,42374,43001,43243,43685,43696,43444,43260,43352,43471,43808,44311,44885,45509,45933,46555,47169,47599,47748,47515,46943,46131,45292,44583,43709,43158,42786,42348,41743,
Bosnia and Herzegovina,BIH,639173,634718,632877,631939,629206,623449,618018,609140,598452,588805,581751,574486,569865,566871,563687,559335,555666,551650,546034,537144,523369,501845,476902,450903,427546,409871,397655,390436,386498,382798,377158,369517,358655,345874,333652,323370,312213,304645,298786,291802,282638,279452,272940,264950,258560,255151,246654,241896,239134,236046,231668,
Belarus,BLR,1257344,1233871,1213002,1193798,1174570,1153889,1138692,1119335,1099650,1084129,1076521,1076114,1083330,1095636,1107844,1117117,1132326,1143905,1147335,1148240,1145676,1140858,1134159,1123738,1106065,1083052,1046617,1011488,976015,939138,899818,864308,827102,790627,758628,732592,713957,700046,691084,686946,686958,693673,704091,717761,733191,749465,762375,772196,779767,783357,791589,
Belize,BLZ,28549,29310,29985,30560,31050,31460,31867,32171,32422,32761,33293,33627,34242,35042,35862,36589,37523,38331,39035,39687,40293,40872,41438,42024,42707,43607,44566,45708,47033,48465,49879,51017,52053,52983,53838,54648,55189,55687,56132,56528,56858,56979,57126,57241,57262,57177,57296,57259,57156,57111,57190,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,910218,931266,951849,972160,992244,1012059,1036027,1059112,1081293,1102416,1122293,1145318,1166500,1186560,1206436,1226677,1249437,1272524,1295638,1318105,1339555,1364417,1387070,1408292,1429147,1450112,1473486,1496328,1518309,1538795,1557492,1577320,1595602,1612463,1628003,1642182,1656579,1668687,1678983,1688166,1696626,1703357,1710037,1716097,1720615,1723190,1725951,1726462,1725555,1724650,1724540,
Brazil,BRA,19945955,20270866,20583480,20882104,21163369,21430509,21708557,21988082,22269494,22555714,22850537,23220494,23581188,23934995,24277744,24599316,24934781,25218551,25459188,25667220,25845975,25942419,26036872,26110084,26139284,26119711,26099850,26038682,25944109,25830391,25703684,25617507,25488386,25331855,25162353,24983394,24761328,24544962,24323291,24081004,23815286,23537452,23259385,22980870,22707448,22445657,22251153,22054151,21864173,21688644,21526480,
Barbados,BRB,44138,42848,41626,40396,39125,37901,37512,37177,36995,37046,37260,36334,35726,35245,34669,33949,33449,32740,31958,31309,30877,30406,30157,30055,29974,29850,29730,29574,29404,29271,29195,28822,28562,28370,28187,27997,27854,27699,27544,27405,27262,26973,26658,26307,25929,25537,25118,24744,24395,24043,23681,
Brunei Darussalam,BRN,27076,27999,29052,30149,31156,31987,33246,34244,35109,35984,36930,37815,38768,39771,40761,41695,41899,42123,42453,42945,43601,44506,45377,46229,47042,47788,48554,49162,49602,49825,49795,50117,50111,49971,49781,49529,49505,49324,49092,48918,48851,48472,48408,48504,48544,48428,48586,48339,47881,47513,47369,
