Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Aruba,ABW,11228,10941,10694,10441,10140,9770,9537,9211,8824,8454,8161,8019,7957,7961,7970,7931,8001,7968,7881,7863,8016,8160,8476,8889,9269,9527,9914,10181,10361,10516,10676,10751,10821,10863,10847,10782,10795,10804,10815,10819,10816,10669,10494,10293,10100,9940,9751,9646,9592,9535,9444,
Africa Eastern and Southern,AFE,38330072,39561955,40812896,42079388,43352341,44630505,46070120,47495879,48928881,50394859,51900944,53604643,55315163,57027459,58734748,60436524,62374449,64278830,66149444,67981750,69764397,71666689,73502576,75282350,77022599,78732657,80739831,82720194,84689225,86655978,88627681,90858803,93073063,95303899,97597877,99979653,102572391,105224278,107926510,110657788,113407724,116261981,119086250,121888381,124677975,127452355,130271277,133047322,135768064,138417445,140988093,
Afghanistan,AFG,2515913,2604219,2692232,2777921,2857731,2927433,3005221,3075885,3130894,3157837,3147641,3126884,3079367,3016631,2956611,2916223,2876265,2844943,2847594,2917813,3081558,3304777,3605319,3944623,4259146,4497186,4700712,4841218,4943489,5056016,5218183,5411610,5640277,5885568,6114720,6301959,6511422,6688306,6846070,7008078,7192151,7341865,7500396,7657099,7796013,7905639,8024679,8122731,8203122,8271660,8333700,
Africa Western and Central,AFW,26193804,26986330,27777951,28574844,29382742,30207317,31204294,32196633,33191837,34196806,35212840,36408392,37587849,38756018,39914025,41060186,42333663,43573742,44784811,45970276,47129855,48405634,49639098,50840660,52024334,53202935,54586791,55956263,57323805,58703433,60105513,61757063,63409438,65081256,66792482,68555148,70539265,72539457,74560864,76603661,78664466,80900407,83131603,85353326,87555845,89732929,92008213,94221632,96382138,98504932,100597279,
Angola,AGO,1378573,1411810,1465224,1529582,1591468,1643983,1709971,1760969,1805108,1855307,1918190,1991047,2076374,2169555,2262134,2349707,2446366,2538265,2626820,2715103,2804453,2905821,3005811,3104966,3203458,3301450,3410536,3518997,3627595,3737379,3849534,3977967,4108411,4242893,4384193,4534509,4708201,4888928,5076743,5270779,5469888,5688059,5908107,6129427,6350390,6569082,6794455,7015196,7231974,7446078,7658353,
Albania,ALB,445849,452943,460463,467116,472688,477343,482295,486084,488590,490963,494383,498194,503249,508983,515136,521569,528455,536563,544163,554789,557783,555986,551898,546160,540883,538007,523505,512626,503876,494910,484042,470917,458798,444841,430308,415759,399800,384502,370140,357079,345606,329212,315495,304001,294107,285043,280418,274603,268103,262237,257617,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,27848426,28655103,29436207,30218099,31036608,31918661,32880380,33900747,34963354,36037415,37098538,38216963,39315314,40398845,41478342,42559085,43729843,44867378,45982742,47073589,48613324,49633225,50280867,51192352,51984344,52895100,53527775,54069676,54548513,55015879,55491540,55881692,56276016,56694025,57158675,57686438,58250190,58885046,59608648,60427937,61341036,62314806,63378315,64513142,65668831,66800207,68115164,69287019,70388795,71493710,72625969,
United Arab Emirates,ARE,43232,47321,52768,59902,69008,80223,90697,102834,117059,132141,146304,161603,175709,189842,205381,223129,237340,251063,264691,277919,290296,299722,309828,320166,329921,339059,352127,365010,381241,401415,423956,405962,389858,385076,399418,435155,450690,480205,519063,554954,575316,618658,638237,645584,653800,669178,683993,696693,712330,730453,747458,
Argentina,ARG,3567218,3610549,3659214,3713302,3773119,3839023,3922494,4013707,4109457,4204593,4296141,4399079,4485854,4563790,4643433,4728705,4791710,4870885,4954198,5024622,5075021,5132139,5167930,5189156,5207801,5229340,5248583,5267096,5285992,5304716,5323070,5333124,5350072,5369400,5384889,5393566,5407217,5410359,5408041,5409174,5404603,5422973,5449188,5480320,5510397,5536053,5565696,5589652,5609438,5627960,5646296,
Armenia,ARM,509445,506919,505426,504103,501467,496921,493941,488672,482905,479176,478618,480801,485851,492970,500827,508667,518016,527927,536558,541158,539324,532876,520698,505021,489332,476157,460943,447692,435494,423067,409874,392433,376496,361877,348365,335789,325764,316025,307490,301563,299090,299257,301360,305055,309435,313717,317322,320852,323937,326199,327414,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,14341,14082,13768,13451,13181,12978,12622,12315,12074,11893,11752,11464,11200,10974,10794,10641,10374,10109,9882,9720,9628,9661,9732,9855,10024,10221,10291,10392,10525,10686,10854,10867,10871,10866,10849,10822,10879,10910,10912,10882,10820,10847,10823,10778,10730,10691,10724,10747,10770,10804,10843,
Australia,AUS,1866498,1912929,1930385,1940511,1966205,1960679,1957370,1943432,1924127,1906884,1900660,1891676,1898522,1905420,1907483,1906792,1921415,1922771,1921293,1925479,1934235,1940392,1954497,1969313,1984496,1998761,2019215,2032697,2042924,2055991,2071031,2076261,2078937,2081768,2083013,2089032,2094326,2085263,2109908,2138775,2156909,2186553,2217950,2247732,2276877,2311139,2353914,2407153,2460104,2508785,2542899,
Austria,AUT,937875,940170,939121,933505,921175,902612,880818,860524,838413,814757,792317,773277,753777,733919,716784,701623,691026,679235,668760,663811,665851,673540,688109,704450,716378,722017,722264,716691,707119,698018,691415,684952,681977,680364,678306,673977,668212,658966,648489,638708,631065,624798,620956,619866,621481,626489,636364,644272,651075,657295,662528,
Azerbaijan,AZE,1160670,1167808,1173779,1176724,1174188,1165721,1156189,1142081,1125428,1109690,1097128,1090495,1088758,1091748,1098834,1109677,1131750,1156123,1181128,1205850,1215820,1241375,1265359,1288184,1306922,1319815,1324731,1324903,1320148,1309812,1294838,1266228,1237199,1207979,1179500,1152394,1133813,1114912,1108272,1106542,1102584,1108410,1122158,1141727,1162950,1182734,1209112,1227657,1241004,1253698,1266832,
Burundi,BDI,789013,802944,812539,819523,826760,836653,849701,865357,883407,903086,924074,954270,984772,1017068,1052570,1091509,1135803,1181396,1226356,1267985,1304632,1357704,1405185,1446898,1482608,1511919,1531529,1546216,1558827,1573918,1595276,1612348,1635886,1664922,1697642,1732958,1773387,1815848,1861180,1910602,1964693,2031257,2100885,2173612,2248837,2325913,2404121,2482363,2559984,2636217,2710353,
